id,name,parent_company
246,ctk biotech inc  imported by biolore ltda,Ctk Biotech Inc.
247,cvrx inc,Cvrx Inc.
248,beckman coulter ireland inc  imported by  rochem  biocare  colombia,Danaher Corporation
249,beckman  coulter inc  imported by  rochem  biocare  colombia  sa  análisis técnicos ltda,Danaher Corporation
252,beckman coulter  imported by    analisis  técnicos  ltda  y  rochem  biocare de colombia sas,Danaher Corporation
256,beckman coulter inc  imported by  rochem biocare colombia  sas y  beckman coulter colombia sas,Danaher Corporation
263,beckman coulter ireland inc  beckman coulter inc,Danaher Corporation
266,cepheid,Danaher Corporation
267,cepheid ab  imported byrochem  biocare  colombia  sas,Danaher Corporation
273,hemocue a b,Danaher Corporation
274,hemocue ab  imported by  solucare  de  colombia  sas  y vital tecnologia medicavital,Danaher Corporation
275,implant direct sybron manufacturing llc usa,Danaher Corporation
276,iris diagnostic division  importer rochem biocare colombia,Danaher Corporation
277,iris diagnostics,Danaher Corporation
278,leica biosystems newcastle ltd  importer novo colombia ltda,Danaher Corporation
279,leica biosystems nussloch gmbh,Danaher Corporation
281,leica biosystems nussloch gmbh  leica instruments singapore pte limited  leica microsystems ltd shanghai,Danaher Corporation
282,radiometer medical aps  imported by instrumentacion sa,Danaher Corporation
286,dentscare ltda,Dentscare Ltda
287,dexcom lnc,Dexcom Inc.
288,diasorin,Diasorin Spa
289,diasorin spa  importer annar diagnostica import sas,Diasorin Spa
291,diasorin s p a  importer annar diagnostica import sas,Diasorin Spa
292,diasorin s p a,Diasorin Spa
296,esa biosciences  inc  imported by  annar  diagnostica  import sa s,Dionex Corporation
297,disposafe health and life care ltd,Disposafe Health And Life Care Limited
298,dixtal biomedica indústria e comércio ltda,Dixtal Biomédica Indústria E Comércio Ltda
299,drg instruments gmbh  importer felgon ltda,Drg Instruments Gmbh
300,edwards lifesciences asia pte ltd,Edwards Lifesciences Corporation
301,edwards lifesciences llc  edwards lifesciences ag,Edwards Lifesciences Corporation
302,elekta instruments ab,Elekta Ab
305,elekta limited  elekta instrument ab,Elekta Ab
306,nucletron operation bv,Elekta Ab
307,ellascs sro,Ella-Cs S.R.O.
308,ellex medical pty lyd,Ellex Medical Lasers Limited
309,endologix inc,Endologix Inc.
311,elitech group seppim reagents  importer   distriquimicos aldir sas,Ergon Capital Partners
312,establishment labs sa,Establishment Labs Holdings Inc.
313,intersurgical limited,Etablissement Cosmeplast
314,peters surgical,Eurazeo Sa
315,eurosilicone sas,Eurosilicone Sas
316,exactech inc,Exactech Inc
317,fisher  paykel healthcare pty limited,Fisher & Paykel Healthcare Corporation Limited
318,fenwal international inc,Fresenius Se & Co Kgaa
319,fresenius kabi limited,Fresenius Se & Co. Kgaa
320,fresenius kabi ag  fresenius kabi guangzhou co ltd  fresenius hemocare cz sro  fresenius hemocare brasil ltda  fresenius hemocare austria gmbh  fresenius hemocare netherlands bv,Fresenius Se & Co. Kgaa
322,fresenius vial sas,Fresenius Se & Co. Kgaa
323,f stephan gmbh medizintechnik,Fritz Stephan Gmbh
324,fuji flex corporation,Fujifilm Holdings Corp.
325,fujifilm corporation  fujifilm techno products co ltd,Fujifilm Holdings Corp.
326,fujifilm techno products co ltd  fujifilm corporation,Fujifilm Holdings Corp.
328,gce sro,Gce Holdings Lp
329,ge hang wei medical systems co ltd  ge medical systems israel  functional imaging  ge medical systems llc  ge  healthcare  do  brasil  comércio  e  servicos  para  equipamentos medicohospitalares ltda  ge healthcare japan corporation,General Electric Company
330,ge healthcare division de general electric company  ge healthcare,General Electric Company
333,ge klinik sistemier tic as  ohmeda medical,General Electric Company
335,varian medical systems beijing co ltd,General Electric Company
336,ge medical system llc  ge hang wei medical system co ltd  ge healthcare japan corporation  ge  healthcare  do  brasil  comercio  e  servicos  para  equipamentos medico  hospitalares ltda  ge medical system israel  functional imaging,General Electric Company
337,ge medical systems china co ltd  datex  ohmeda inc,General Electric Company
340,ge medical systems china co ltd  datex  ohmeda inc  carefusion finland 320 oy,General Electric Company
341,ge medical systems co ltd  ge medical systems gmbh  wipro ge healthcare pvt ltd  ge medical systems technologies co ltd,General Electric Company
342,ge medical systems gmbh  ge hualun medical systems co ltd  ge oec medical systems inc,General Electric Company
343,ge medical systems israel  functional imaging  ge medical systems scs,General Electric Company
344,ge medical systems israel  functional imaging  ge medical systems llc  ge healthcare japan corporation  ge hang wei medical systems co ltd  ge  healthcare  do  brasil  comércio  e  servicos  para  equipamentos medicohospitalares ltda,General Electric Company
345,ge medical systems monterrey méxico sa de cv  ge medical systems ultrasound  primary care diagnostics llc  bm tech worldwide co ltd,General Electric Company
346,ge medical systems technologies co ltd  ge healthcare finland oy,General Electric Company
348,ge medical systems technologies co ltd  ge medical systems china co ltd  ge vingmed ultrasound as  ge medical systems israel  functional imaging  ge ultrasound israel  ge ultrasound korea co ltd  ge healthcare japan corporation  ge healthcare austria gmbh  co og  wripo ge healthcare pvt ltd,General Electric Company
349,ge medical systems llc  ge hangwei medical systems co ltd  ge medical systems information technologies gmbh  ge medical systems llc dba ge healthcare  xinaomdt technology co ltd  ge medical systems scs  general medical merate spa  ge healthcare  ge  healthcare  do  brasil  comércio  e  servicos  para  equipamentos medicohospitalares ltda  ge medical systems technologies co ltd,General Electric Company
350,ge medical systems llc  ge healthcare japan corporation  ge hangwei medical systems co ltd,General Electric Company
352,ge medical systems llc  ge healthcare japan corporation  ge medical systems llc  ge healthcare tianjin company limited,General Electric Company
353,ge medical systems llc  ge medical systems information technologies gmbh  ge medical systems llc dba ge healthcare  xinaomdt technology co ltd  ge medical systems scs  general medical merate spa  ge healthcare  ge healthcare do brasil comércio e servicos para  equipamentos medicohospitalares ltda  ge medical systems technologies co ltd,General Electric Company
354,ge oec medical systems inc  ge  healthcare  do  brasil  comércio  e  servicos  para  equipamentos  medicohospitalares ltda  ge oec medical systems gmbh,General Electric Company
355,ge oec medical systems inc  ge medical systems gmbh  ge hualun medical systems co ltd  ge  healthcare  do  brasil  comércio  e  servicos  para  equipamentos medicohospitalares ltda,General Electric Company
356,ohmeda medical inc,General Electric Company
357,wipro ge healthcare pvt ltd  ge medical systems technologies co ltd,General Electric Company
358,wipro ge healthcare pvt ltd  ohmeda medical,General Electric Company
359,wipro ge healthcare pvt ltd  ohmeda medical  ge klinik sistemier tic as,General Electric Company
360,xpro sistemas ltda  ge medical systems scs gems scs  ge hualun medical systems co ltd,General Electric Company
362,ge medical systems scs gems scs  ge hualun medical systems co ltd  xpro sistemas ltda,General Electric Company
363,terumo medical corporation elkton,Getinge Ab
364,datascope corp,Getinge Ab
365,getinge infection control ab  getinge sourcing llc  getinge sterilization ab  getinge infection control production poland sp z o o  getinge disinfection ab,Getinge Ab
366,getinge infection control ab  getinge sterilization ab  getinge sourcing llc  trans medikal aletler sanayi ve ticaret as  getinge infection control production poland sp zo o  getinge disinfection ab,Getinge Ab
367,getinge sterilization ab  getinge disinfection ab  getinge sourcing llc,Getinge Ab
368,maquet suzhou co ltd  maquet gmbh  co kg  maquet sas,Getinge Ab
369,maquet cardiopulmonary gmbh,Getinge Ab
370,maquet cardiopulmonary a g  maquet cardipulmonary medikal t,Getinge Ab
371,maquet criticial care ab,Getinge Ab
373,maquet gmbh  co kg  maquet sas  maquet suzhou co ltd,Getinge Ab
374,maguet sas,Getinge Ab
375,maquet sas  maquet gmbh  maquet suzhou co ltd,Getinge Ab
376,pulsion medical systems se,Getinge Ab
377,angiodynamics inc us,Gi Dynamics Inc.
378,diasys diagnostic systems gmbh  imported by analisis tecnicos,Gorka Holding - Gmbh
379,diasys diagnostic systems gmbh con domicilio en  alemania  importer analisis tecnicos ltda,Gorka Holding - Gmbh
380,diasys diagnostics systems gmbh,Gorka Holding - Gmbh
381,diasys diagnostics systems  importer analisis tecnicos ltda,Gorka Holding - Gmbh
384,disgnostic grifols sa  importer laboratorios dai de colombia sa,Grifols Sa
385,immucor transplant diagnostics inc  importer biosciences sas,Grifols Sa
386,immucor transplant diagnostics inc  imported bybiosciences sas  servicios medicos yunis turbay y cia s en c,Grifols Sa
387,inmucor trasplants diagnostics inc  imported by  servicios  medicos  yunis  turbay  y cia sas,Grifols Sa
388,hamilton medical inc,Hamilton Bonaduz Ag
390,hillrom co inc,"Hill-Rom Holdings, Inc"
392,hill rom inc  liko ab,"Hill-Rom Holdings, Inc"
393,hill room sas,"Hill-Rom Holdings, Inc"
396,welch ally protocol inc div welch allyn inc,"Hill-Rom Holdings, Inc"
397,hitachi aloka medical ltd,Hitachi Ltd
398,hologic lnc,"Hologic, Inc."
399,hoya corporation pentax miyagi factory  hoya corporation,Hoya Corp.
400,hoya corporation pentax miyagi factory  pentax medical company,Hoya Corp.
401,microline surgical inc de,Hoya Corp.
402,b braun medical limited,"Icu Medical, Inc."
403,imex group sas,Imex Group S A S
404,immunomycologics inc  imported by  annar  diagnostica  import,Immuno-Mycologics Inc.
405,impact instrumentation inc,Asahi Kasei Corp.
406,inpeco spa,Inpeco Group Sa
407,integra lifesciences corporation integra,Integra Lifesciences Holdings Corporation
408,integra lifesciences corporation  integra neurosciences ltd  integra neurosciences  integra lifesciences limited ireland,Integra Lifesciences Holdings Corporation
409,integra lifesciences corporation usa  integra radionics inc  integra neurosciences pr inc  integra neurosciences ltd  integra lifesciences ireland ltd,Integra Lifesciences Holdings Corporation
411,invacare,Invacare Corporation
412,permobile inc,Investor Ab
413,immucor  importer laboratorios dai de colombia,Ivd Holdings Inc
414,immucor inc  imported by laboratorio dai de colombia sa,Ivd Holdings Inc
415,immucor inc  imported by  laboratorios  dai  de  colombia sa y hemocolombia sas,Ivd Holdings Inc
417,ivoclar vivadent inc,Ivoclar Vivadent Aktiengesellschaft
419,amo puerto rico manufacturing inc,Johnson & Johnson
420,abbott medical optics inc amo  amo puerto rico manufacturing inc  abbott manufacturing malaysia sdn bhd,Johnson & Johnson
421,amo ireland  abbott medical optics inc,Johnson & Johnson
422,amo uppsala ab,Johnson & Johnson
423,biosense webster inc  biosense webster ltd,Johnson & Johnson
424,biosense webster limited,Johnson & Johnson
427,cilag gmbh international  johnson  johnson medical limited  advanced sterilization products,Johnson & Johnson
429,depuy cmw  depuy international ltd  depuy raynham  depuy ace sarl  depuy orthopaedics inc  johnson  johnson medical suzhou ltd  depuy france sas  depuy ireland ltd,Johnson & Johnson
430,ethicon endosurgery inc  ethicon endosurgery sa de cv  ethicon endosurgery llc,Johnson & Johnson
431,ethicon sa  johnson  johnson international  johnson  johnson medical gmbh  ethicon llc  johnson    johnson  de  brasil  industria  y  comercio  productos  para la salud ltda  johnson  johnson industrial ltda  ethicon sarl,Johnson & Johnson
432,gynecare inc a division of ethicon inc,Johnson & Johnson
433,johnson  johnson  importer johnson  johnson de colombia sa,Johnson & Johnson
434,johnson  johnson gmbh alemania  ethicon inc,Johnson & Johnson
435,johnson  johnson international  johnson  johnson medical gmbh,Johnson & Johnson
436,johnson  johnson medical gmbh  johnson    johnson  do  brasil  industria  e  comercio  de  produtos  para  salud ltda  ethicon inc  johnson  johnson medical limited  johnson    johnson  do  brasil  indústria  e  comércio  de  produtos  para  sáude ltda  ethicon llc  johnson  johnson international,Johnson & Johnson
437,johnson  johnson vision care inc usa,Johnson & Johnson
439,megadyne medical products inc,Johnson & Johnson
442,mentor medical system bv  mentor  perouse plastie,Johnson & Johnson
443,karl storz gmbh  co kg,Karl Storz Se & Co. Kg
444,storz medical ag,Karl Storz Se & Co. Kg
445,kisko international sas,Kisco International
447,event medical ltd,Kobayashi Pharmaceutical Co. Ltd.
448,laboratoires arion,Laboratoires Arion
449,lumenis inc,Laguna Holdco Ltd
450,lumenis ltd,Laguna Holdco Ltd
451,lemaitre vascular inc,"Lemaitre Vascular, Inc."
452,lifetech scientific shenzhen co ltd,Lifetech Scientific Corp.
453,sorin group deustchland gmbh,Livanova Plc
455,sorin group deutschland gmbh  sorin group sa srl,Livanova Plc
457,sorin group usa inc,Livanova Plc
458,lohmann and rauscher international gmbh co kg,Lohmann & Rauscher International Gmbh & Co Kg.
459,"weinmann geräte für medizin gmbh  co 
kg",Löwenstein Familien-Stiftung
460,aescuplap ag,Ludwig G. Braun Gmbh U. Co. Kg
461,aesculap ag  bbraun surgical sa  aesculap ag  bbraun medical industries sdn bhd,Ludwig G. Braun Gmbh U. Co. Kg
462,b braun avitum oyn,Ludwig G. Braun Gmbh U. Co. Kg
463,b braun medical sas  b braun medical industries sdn bhd  b braun vietnam co ltd  bbraun melsungen ag  bbraun medical kft production division  laboratorios b braun sa,Ludwig G. Braun Gmbh U. Co. Kg
464,b braun melsungen ag  laboratorios b braun sa,Ludwig G. Braun Gmbh U. Co. Kg
467,terumo medical corporation elkton,Masimo Corporation
468,medax srl,Medax Srl
469,medax srl unipersonale,Medax Srl
470,devilbiss healthcare llc,Medical Depot Inc.
471,medline international france sas,Medicrea International
472,covidien  covidien llc,Medtronic Plc
473,covidien  covidien medical products shanghai manufacturing llc  covidien deutschland manufacturing gmbh  covidien llc,Medtronic Plc
474,covidien  newport medical instruments inc  mallinckrodt medical  covidien llc,Medtronic Plc
475,covidien iic  ev3 inc,Medtronic Plc
477,covidien medical products shanghai manufacturing llc  covidien previously registered as  kendall a division  of tyco healthcare group lp,Medtronic Plc
478,medtronic bv  medtronic minimed,Medtronic Plc
479,medtronic france sas,Medtronic Plc
480,medtronic inc  medtronic neuromodulation  medtronic neurosurgery,Medtronic Plc
481,medtronic inc  medtronic neuromodulation  medtronic puerto rico operations co  medtronic puerto rico operations co villalba,Medtronic Plc
482,medtronic inc  medtronic neuromodulation  medtronic puerto rico operations co  medtronic puerto rico operations co villalba  medtronic bv,Medtronic Plc
483,medtronic inc  medtronic europe s arl,Medtronic Plc
484,medtronic inc cardiac rhythm disease  medtronic neuromodulation  medtronic bv  medtronic puerto rico operations co villalba,Medtronic Plc
486,medtronic ireland  medtronic inc,Medtronic Plc
487,medtronic ireland  medtronic mexico s de r l de c v  medtronic inc,Medtronic Plc
488,medtronic mexico s de rl de cv  medtronic corevalve llc,Medtronic Plc
489,medtronic mexico s de r l de c v  medtronic inc  medtronic perfusion systems,Medtronic Plc
490,medtronic navigation inc,Medtronic Plc
491,medtronic navigation israel ltd  medtronic inc cardiac rhythm disease,Medtronic Plc
493,medtronic inc  neuromodulation,Medtronic Plc
494,medtronic p s solutions  medtronic puerto rico operations co,Medtronic Plc
495,medtronic perfusion systems  medtronic méxico srl de cv,Medtronic Plc
496,medtronic puerto rico operations co mpri villalba  medtronic europe s arl  medtronic inc  medtronic puerto rico operations co med rel  medtronic neuromodulation,Medtronic Plc
498,medtronic inc  medtronic europe s arl  medtronic neuromodulation  medtronic puerto rico operations co villalba,Medtronic Plc
500,micro therapeutics inc dba ev3 neurovascular  usa,Medtronic Plc
501,newport medical instruments inc  covidien  medtronic,Medtronic Plc
502,medxpert gmbh,Medxpert Gmbh
503,menicon pharma sas  menicon co ltd  menicon nect co ltd guju plant,Menicon Co. Ltd.
504,varian medical systems beijing co ltd,Merit Medical Systems Inc
505,mitsubishi chemical europa gmbh y mitsubishi  chemical medience inc,Mitsubishi Chemical Holdings Corporation
506,mortara instrument inc,"Mortara Instrument, Inc"
508,biologic systems corp  excel tech limited  natus medical incorporated incorporated dba excel tech limeted,Natus Medical Incorporated
509,varian medical systems beijing co ltd,Natus Medical Incorporated
510,natus  medical  incorporated  incorporated  dba  excel  tech  limited  alpine biomed aps,Natus Medical Incorporated
511,natus neurological incorporated,Natus Medical Incorporated
512,qmed ab,Nestlé S.A.
513,nidacon international ab,Nidacon International Ab
514,nidek co ltd,Nidek Co. Ltd.
515,nihon kohden corporation,Nihon Kohden Corp.
516,nipro corporation odate plant,Nipro Corporation
517,nipro medical industries ltd,Nipro Corporation
518,b braun medical limited,"Nonin Medical, Inc."
519,nova biomedical,Nova Biomedical Corporation
520,nova biomedical corporation usa,Nova Biomedical Corporation
521,alcon gps  wavelight gmbh,Novartis Ag
524,alcon lensx inc,Novartis Ag
525,alcon research ltd dba alcon laboratories inc,Novartis Ag
526,gyrus acmi inc,Olympus Corporation
527,olympus medical systems corporation,Olympus Corporation
529,olympus winter  ibe gmbh  olympus medical systems corporation,Olympus Corporation
530,olympus  keymed medical  lndustrial equipment ltd,Olympus Corporation
531,carestream health inc,Onex Corp
532,carestream health inc  caretream healt inc  carestream health inc  soluciones medicas exportación s de rl de cv  carestream health inc,Onex Corp
533,trophy for carestream health inc,Onex Corp
534,organ recovery systems inc,Organ Recovery Systems Inc.
535,origen biomedical inc,Origen Biomedical Inc.
536,spacelabs healtcare inc  spacelabs healthcare ltd,Osi Systems Inc
537,spacelabs healtcare inc  spacelabs healthcare medical equipment suzhou co ltd,Osi Systems Inc
538,spacelabs healthcare limited,Osi Systems Inc
539,spacelabs medical inc,Osi Systems Inc
541,ossur americas inc,Össur Hf
542,össur inc  ossur hf,Össur Hf
543,osteogenics biomedical inc,Osteogenics Biomedical Inc
544,otto bock mobility solutions gmbh,Otto Bock Holding Gmbh & Co. Kg
546,penumbra inc,"Penumbra, Inc."
547,perkin elmer life and analyrical sciences  imported by ropsohn therapeutics ltda,Perkin Elmer Inc.
548,perkin elmer  imported by ropsohn therapeutics ltda,Perkin Elmer Inc.
549,wallac oyperkin elmer  imported by  ropsohn  therapeutics  sas,Perkin Elmer Inc.
551,peter brehm gmbh chirurgie mechanik,Peter Brehm Gmbh
